"","tax1","tax2","tax3","tax4","tax5","tax6","tax7"
"OTU_69788","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_73460","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria alternata"
"OTU_49505","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_714","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Corynascus","s__Corynascus sp JHG_2007"
"OTU_963","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_69505","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis","g__Cryptococcus","s__Cryptococcus psychrotolerans"
"OTU_427","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Steccherinum","s__Steccherinum sp MLB_2010"
"OTU_1158","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Incertae sedis","g__Tetracladium",NA
"OTU_37482","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_51648","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","s__Sistotrema sernanderi"
"OTU_13654","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Vascellum","s__Vascellum sp NY_2013a"
"OTU_50889","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_76097","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"OTU_1609","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_16735","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_27822","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae",NA,NA
