"","lon","lat"
"758",-79.9,39.7
"759",-97.1,32.7
"761",-93.4,37
"762",-96.4,30.7
"763",-89.5,43
"764",-81.3,35.8
"765",-96,41.2
"766",-71.2,42.1
"767",-84.4,38
"768",-82.1,35.9
"769",-79.1,35.9
"770",-106.7,35.1
"772",-93.2,45
"773",-97.4,32.8
"774",-94.3,35.2
"776",-79.3,35.9
"777",-79.4,36.3
"778",-78.5,35.6
"779",-78.9,39.3
"781",-80.4,37.2
"782",-77.3,38.8
"783",-122.7,45.6
"784",-71.2,42.4
"785",-97.4,32.7
"786",-117.9,33.9
"787",-81.7,41.5
"788",-112.4,42.9
"789",-90.1,30.4
"790",-75.5,40.6
"792",-80.2,36.3
"793",-82.4,29.7
"794",-88.3,42.2
"795",-122.2,47.7
"796",-92.2,38.5
"797",-117.1,33.1
"798",-89.1,45.9
"799",-84.5,39.1
"800",-70.8,43
"801",-82.3,28.3
"802",-80,36
"803",-122.3,47.8
"804",-79.9,39.7
"805",-96.8,33
"806",-122.4,37.8
"807",-78.5,38
"808",-70,43.9
"809",-119.3,36.3
"810",-79,35.8
"811",-77.1,38.9
"812",-78.6,35.4
"813",-122.5,37.8
"814",-74,40.7
"815",-75.7,36
"816",-88.9,34.4
"817",-82.5,35.5
"818",-78.5,38.3
"819",-78.5,35.7
"820",-78.6,35.9
"821",-111.1,32.4
"823",-78.5,38.1
"825",-85.9,38.9
"827",-122.4,37.8
"828",-76.8,38.6
"829",-119.8,34.4
"830",-79.2,36
"831",-90.5,38.7
"832",-71.1,42.5
"833",-122.7,42.2
"834",-86.4,36.9
"835",-121,38.8
"836",-77.3,39
"837",-83.8,40.8
"838",-87.9,43.2
"839",-75.2,40
"840",-93.2,36.7
"841",-122.7,45.5
"842",-85.4,38.4
"843",-71.4,42.9
"844",-86.1,39.7
"845",-77.1,39.1
"846",-111.7,33.2
"847",-118.3,34.1
"848",-81,38.1
"849",-76.8,40.3
"850",-111.8,40.7
"851",-118.5,34
"852",-123.3,44.6
"853",-78.8,35.8
"854",-94.1,45.5
"855",-107.9,37.3
"856",-93.6,42.1
"857",-78.7,35.8
"858",-71.1,42.4
"859",-87.1,34.6
"860",-91.4,44.9
"863",-92.5,45.7
"864",-122.4,47.7
"866",-89.5,43.1
"867",-70.9,42.5
"869",-71.8,41.7
"870",-75.7,40
"871",-80,32.7
"872",-77.1,39
"873",-122.3,38.1
"874",-73.2,41.2
"875",-82,33.7
"876",-80.4,25.7
"877",-78.7,35.9
"878",-111.9,33.4
"880",-106.7,35.1
"881",-77.1,39
"882",-122.9,48.1
"883",-79,36
"885",-84.8,31.1
"887",-122,37
"888",-122.5,45.5
"889",-86.8,33.9
"890",-80.1,33
"891",-94.9,39.3
"892",-88.4,42.6
"893",-111.5,33.4
"894",-71.1,42.4
"895",-71.1,42.4
"896",-80.8,40.9
"897",-77.1,39
"898",-79,38.1
"899",-122.4,37.8
"900",-76.3,43.1
"901",-123.1,44
"902",-77.2,39.1
"903",-79.1,36.1
"904",-80.8,35.2
"906",-97.7,30.3
"907",-122.4,37.8
"908",-117.9,33.7
"910",-71.2,42.2
"912",-71.8,42.6
"913",-95.4,29.8
"914",-78.6,35.8
"915",-97.7,30.5
"916",-75.3,40.3
"917",-80.7,35.3
"918",-73.8,41.3
"919",-93.1,37.2
"920",-122.3,37.6
"921",-80.4,37.2
"922",-79.9,40.4
"923",-121.7,38.6
"924",-115.3,36.3
"925",-79.8,32.9
"926",-74,40.7
"928",-86.2,40
"929",-74.8,40.3
"930",-71.1,42.5
"931",-122.5,38.3
"932",-80.6,41
"933",-74,40.7
"934",-93.6,41.6
"935",-111.9,48.5
"936",-86.6,33.2
"937",-74,40.7
"938",-88.5,43.9
"939",-71.4,41.9
"940",-117.2,32.8
"943",-70.7,42.1
"944",-79.9,37.3
"946",-78.8,35.8
"949",-80.1,40.7
"951",-74.4,40.8
"952",-122,37
"954",-101.6,35.6
"955",-82.2,28.2
"956",-114.2,46
"957",-111,32.3
"958",-122.7,45.6
"959",-71.1,42.4
"960",-87.4,46.5
"963",-122.4,45.6
"964",-95.4,33.3
"965",-78.7,35.8
"966",-71.2,42.4
"969",-86.1,39.8
"970",-88.4,34.2
"971",-97.1,36.1
"973",-92.6,42.7
"974",-119.3,46.3
"975",-78.9,36
"976",-78.7,35.8
"977",-97.1,33.2
"978",-76.7,36.2
"979",-78.7,35.8
"980",-87.6,41.9
"982",-88.5,43.8
"983",-76.7,41.7
"984",-97,47.9
"985",-94,36.3
"986",-77.9,40.8
"987",-112,40.5
"990",-123.1,44
"991",-74.5,41
"992",-94.8,36.4
"993",-97.2,37.7
"994",-72.4,41.8
"995",-97.7,35.6
"997",-74.9,42.4
"1000",-77.2,39
"1001",-74,40.8
"1002",-81.6,38.3
"1003",-71.1,42.4
"1004",-87.7,41.5
"1005",-74,40.2
"1006",-79,40.1
